name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h,Year,Quarter,Month,Day,DayName
Lido DAO,LDO,$0.89,-37.00%,77.00%,-1936.00%,$795376335.21,$65961247.42,2025,Qtr 3,August,3,Sunday
Tezos,XTZ,$0.75,-15.00%,68.00%,-1652.00%,$785083190.71,$25568327.55,2025,Qtr 3,August,3,Sunday
Vaulta,A,$0.49,-12.00%,-46.00%,-1476.00%,$777733478.48,$48431960.47,2025,Qtr 3,August,3,Sunday
Theta Network,THETA,$0.74,-26.00%,76.00%,-1801.00%,$738985885.2,$28449640.8,2025,Qtr 3,August,3,Sunday
JasmyCoin,JASMY,$0.01,-4.00%,15.00%,-1660.00%,$722267203.52,$34141315.24,2025,Qtr 3,August,3,Sunday
IOTA,IOTA,$0.18,0.00%,129.00%,-1852.00%,$704580165.01,$20167616.61,2025,Qtr 3,August,3,Sunday
MemeCore,M,$0.43,-128.00%,2321.00%,2229.00%,$683354954.29,$39752854.16,2025,Qtr 3,August,3,Sunday
Raydium,RAY,$2.52,-17.00%,-178.00%,-1869.00%,$676459255.94,$53790077,2025,Qtr 3,August,3,Sunday
Gala,GALA,$0.01,-12.00%,56.00%,-1696.00%,$676414024.74,$92298641.9,2025,Qtr 3,August,3,Sunday
The Sandbox,SAND,$0.26,-4.00%,-9.00%,-1783.00%,$670692442.93,$42298116.9,2025,Qtr 3,August,3,Sunday
Aerodrome Finance,AERO,$0.75,-15.00%,-18.00%,-1640.00%,$654448821.39,$27974347.8,2025,Qtr 3,August,3,Sunday
BitTorrent [New],BTT,$0,6.00%,-125.00%,-530.00%,$641404966.52,$20134005.01,2025,Qtr 3,August,3,Sunday
Pendle,PENDLE,$3.83,-4.00%,-140.00%,-1373.00%,$635228750.22,$74086796.72,2025,Qtr 3,August,3,Sunday
